epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,344.603,0.27908,0.324,0.80133,0.97281,0.93637,0.98778,0.95133,0.29548,0.30458,0.77532,0.000423894,0.000423894,0.000423894
74,348.198,0.30089,0.33682,0.79924,0.96563,0.94719,0.98462,0.94572,0.29755,0.30811,0.77487,0.00042206,0.00042206,0.00042206
75,351.785,0.28799,0.32169,0.79414,0.96839,0.94885,0.98559,0.9476,0.29692,0.31146,0.77409,0.000420225,0.000420225,0.000420225
76,355.642,0.29612,0.32082,0.80065,0.977,0.96541,0.99041,0.95067,0.30181,0.27579,0.77679,0.00041839,0.00041839,0.00041839
77,359.216,0.29013,0.31115,0.79423,0.97959,0.97561,0.99191,0.95231,0.30098,0.26289,0.77648,0.000416555,0.000416555,0.000416555
78,362.712,0.28744,0.31393,0.80375,0.97066,0.98181,0.9927,0.95638,0.30576,0.26072,0.7774,0.00041472,0.00041472,0.00041472
79,368.042,0.29525,0.33159,0.79977,0.96656,0.97364,0.99353,0.9541,0.30393,0.26408,0.77637,0.000412886,0.000412886,0.000412886
80,371.778,0.29581,0.33763,0.80392,0.97671,0.97644,0.99231,0.95021,0.30527,0.25786,0.77708,0.000411051,0.000411051,0.000411051
81,375.201,0.29793,0.31897,0.80216,0.97313,0.98048,0.99299,0.94832,0.31921,0.25815,0.77958,0.000409216,0.000409216,0.000409216
82,378.756,0.28458,0.2891,0.79872,0.97334,0.97865,0.99336,0.95575,0.31091,0.25131,0.77814,0.000407381,0.000407381,0.000407381
83,382.216,0.29418,0.32979,0.80036,0.9797,0.9821,0.99347,0.95274,0.30934,0.24495,0.77717,0.000405546,0.000405546,0.000405546
84,386.004,0.2905,0.31426,0.80125,0.97588,0.98022,0.99202,0.95071,0.31331,0.25014,0.77729,0.000403712,0.000403712,0.000403712
