epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4661.93,0.27736,0.25169,0.7982,0.96865,0.93771,0.97885,0.92863,0.33472,0.28354,0.82364,0.000455086,0.000455086,0.000455086
57,4742.36,0.28964,0.25102,0.80211,0.9622,0.97272,0.98171,0.93869,0.31306,0.25249,0.81621,0.000453251,0.000453251,0.000453251
58,4823.25,0.28917,0.26239,0.80429,0.97213,0.97767,0.98412,0.94312,0.28909,0.23768,0.80812,0.000451416,0.000451416,0.000451416
59,4898.46,0.27359,0.25051,0.79623,0.9728,0.9784,0.98478,0.9453,0.29477,0.22324,0.80952,0.000449582,0.000449582,0.000449582
60,4977.43,0.27566,0.24988,0.7996,0.97941,0.98791,0.98853,0.9487,0.30878,0.22574,0.81564,0.000447747,0.000447747,0.000447747
61,5062.13,0.27197,0.2569,0.79991,0.98186,0.98615,0.98717,0.94648,0.30349,0.22217,0.81209,0.000445912,0.000445912,0.000445912
62,5153,0.27609,0.25376,0.80214,0.98252,0.99146,0.98819,0.94331,0.31849,0.22148,0.81892,0.000444077,0.000444077,0.000444077
63,5233.49,0.28843,0.25046,0.80334,0.97829,0.98623,0.98922,0.95428,0.29494,0.22034,0.81093,0.000442242,0.000442242,0.000442242
64,5321.21,0.29127,0.25664,0.80693,0.9832,0.9813,0.98674,0.95397,0.29955,0.22519,0.81216,0.000440408,0.000440408,0.000440408
65,5405.28,0.27893,0.24225,0.79066,0.9763,0.9863,0.98435,0.94859,0.28892,0.22866,0.81099,0.000438573,0.000438573,0.000438573
66,5488.92,0.26509,0.25552,0.79733,0.97796,0.98404,0.98457,0.9476,0.28831,0.22388,0.8127,0.000436738,0.000436738,0.000436738
67,5566.54,0.263,0.24053,0.79725,0.98585,0.98578,0.9848,0.95004,0.28974,0.21423,0.81283,0.000434903,0.000434903,0.000434903
68,5645.88,0.25343,0.23947,0.80582,0.98392,0.98035,0.98866,0.94485,0.3153,0.22769,0.82151,0.000433068,0.000433068,0.000433068
69,5726.21,0.25366,0.23153,0.80396,0.98433,0.97486,0.98754,0.94663,0.29527,0.21343,0.81446,0.000431234,0.000431234,0.000431234
70,5808.06,0.25754,0.25729,0.80628,0.98255,0.98496,0.98677,0.94287,0.32014,0.21278,0.82276,0.000429399,0.000429399,0.000429399
71,5893.42,0.26022,0.23581,0.80167,0.98254,0.99015,0.98817,0.94666,0.30685,0.23017,0.81555,0.000427564,0.000427564,0.000427564
72,5973.3,0.25936,0.23896,0.79996,0.97292,0.98056,0.98667,0.95009,0.31012,0.22794,0.81551,0.000425729,0.000425729,0.000425729
73,6061.48,0.24143,0.23417,0.80246,0.97737,0.97604,0.98696,0.95651,0.2969,0.22179,0.81012,0.000423894,0.000423894,0.000423894
74,6143.96,0.25071,0.24287,0.7973,0.97689,0.97314,0.98741,0.9577,0.29263,0.21761,0.8093,0.00042206,0.00042206,0.00042206
75,6227.8,0.2474,0.23493,0.79121,0.97607,0.97099,0.98717,0.94797,0.29561,0.22026,0.81261,0.000420225,0.000420225,0.000420225
76,6307.17,0.26404,0.2498,0.79995,0.97268,0.98983,0.98908,0.95536,0.29428,0.22996,0.81281,0.00041839,0.00041839,0.00041839
77,6393.22,0.25262,0.23626,0.79292,0.98293,0.98378,0.98886,0.9518,0.28857,0.21057,0.81057,0.000416555,0.000416555,0.000416555
78,6471.5,0.25012,0.24058,0.80165,0.97786,0.9857,0.98877,0.956,0.28145,0.21637,0.80855,0.00041472,0.00041472,0.00041472
79,6551.56,0.26775,0.24137,0.79824,0.98208,0.98249,0.98924,0.94821,0.31186,0.23236,0.81665,0.000412886,0.000412886,0.000412886
80,6632.83,0.26266,0.26199,0.80582,0.97847,0.97934,0.98874,0.94009,0.32942,0.23332,0.81886,0.000411051,0.000411051,0.000411051
81,6718.15,0.26834,0.24078,0.80439,0.96912,0.9887,0.98767,0.94576,0.31016,0.22818,0.81351,0.000409216,0.000409216,0.000409216
82,6810.72,0.25424,0.22912,0.80449,0.97493,0.98805,0.98866,0.95159,0.30313,0.223,0.81513,0.000407381,0.000407381,0.000407381
83,6897.27,0.26835,0.25212,0.8011,0.97738,0.98625,0.98722,0.95143,0.30989,0.22364,0.81748,0.000405546,0.000405546,0.000405546
84,6979.01,0.25621,0.24242,0.7965,0.98628,0.9899,0.98762,0.94653,0.30526,0.21235,0.81186,0.000403712,0.000403712,0.000403712
85,7063.34,0.24424,0.21866,0.79523,0.98669,0.98974,0.98851,0.95472,0.29867,0.2137,0.81001,0.000401877,0.000401877,0.000401877
86,7143.6,0.2381,0.2252,0.78652,0.98446,0.98658,0.98741,0.95552,0.29583,0.21536,0.80998,0.000400042,0.000400042,0.000400042
87,7227.86,0.2388,0.21383,0.79295,0.98605,0.98609,0.9879,0.95377,0.28583,0.20556,0.80802,0.000398207,0.000398207,0.000398207
88,7321,0.22656,0.21364,0.79007,0.98248,0.98534,0.98703,0.94976,0.29536,0.21629,0.81131,0.000396372,0.000396372,0.000396372
89,7408.03,0.25043,0.23195,0.79654,0.97584,0.98581,0.98368,0.9502,0.28702,0.23181,0.80831,0.000394538,0.000394538,0.000394538
90,7501.61,0.2406,0.22888,0.79572,0.98459,0.98983,0.98559,0.94085,0.31049,0.20855,0.81312,0.000392703,0.000392703,0.000392703
91,7595.06,0.25417,0.23097,0.79361,0.98572,0.98993,0.98674,0.94803,0.30914,0.20597,0.8118,0.000390868,0.000390868,0.000390868
