epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,235.329,0.55984,0.3983,0.80414,0.9903,1,0.995,0.7753,0.81656,0.42222,0.87116,0.00025848,0.00025848,0.00025848
74,237.814,0.59394,0.42142,0.82024,0.9903,1,0.995,0.7753,0.81656,0.42222,0.87116,0.000253036,0.000253036,0.000253036
75,240.258,0.52959,0.37477,0.78494,0.98723,0.99584,0.995,0.77237,0.81608,0.41282,0.87121,0.000247345,0.000247345,0.000247345
76,242.64,0.54018,0.3888,0.82448,0.98723,0.99584,0.995,0.77237,0.81608,0.41282,0.87121,0.000241406,0.000241406,0.000241406
77,245.033,0.55851,0.38661,0.80787,0.98723,0.99584,0.995,0.77237,0.81608,0.41282,0.87121,0.00023522,0.00023522,0.00023522
78,247.469,0.55375,0.39093,0.83381,0.97965,0.99565,0.995,0.76026,0.83789,0.43573,0.87587,0.000228786,0.000228786,0.000228786
79,249.897,0.58934,0.40389,0.82818,0.97965,0.99565,0.995,0.76026,0.83789,0.43573,0.87587,0.000222105,0.000222105,0.000222105
80,252.255,0.53131,0.38783,0.82639,0.97965,0.99565,0.995,0.76026,0.83789,0.43573,0.87587,0.000215176,0.000215176,0.000215176
81,254.714,0.59261,0.40667,0.82752,0.97079,1,0.995,0.77057,0.85219,0.45673,0.88018,0.000208,0.000208,0.000208
82,257.092,0.60692,0.41319,0.81382,0.97079,1,0.995,0.77057,0.85219,0.45673,0.88018,0.000200576,0.000200576,0.000200576
83,259.424,0.5465,0.39529,0.81583,0.97079,1,0.995,0.77057,0.85219,0.45673,0.88018,0.000192905,0.000192905,0.000192905
84,261.749,0.50618,0.35683,0.82532,0.9666,1,0.995,0.77804,0.83525,0.44984,0.87735,0.000184986,0.000184986,0.000184986
85,264.328,0.57047,0.38014,0.81921,0.9666,1,0.995,0.77804,0.83525,0.44984,0.87735,0.00017682,0.00017682,0.00017682
86,266.744,0.56306,0.38422,0.81324,0.9666,1,0.995,0.77804,0.83525,0.44984,0.87735,0.000168406,0.000168406,0.000168406
87,269.135,0.49051,0.36363,0.81709,0.9666,1,0.995,0.77804,0.83525,0.44984,0.87735,0.000159745,0.000159745,0.000159745
88,271.547,0.63173,0.42046,0.8027,0.9692,1,0.995,0.78438,0.81931,0.42914,0.87453,0.000150836,0.000150836,0.000150836
89,273.955,0.50953,0.37799,0.82742,0.9692,1,0.995,0.78438,0.81931,0.42914,0.87453,0.00014168,0.00014168,0.00014168
90,276.356,0.52356,0.3748,0.79956,0.9692,1,0.995,0.78438,0.81931,0.42914,0.87453,0.000132276,0.000132276,0.000132276
91,300.298,0.47912,0.35639,0.80348,0.9692,1,0.995,0.78438,0.81931,0.42914,0.87453,0.000122625,0.000122625,0.000122625
92,302.693,0.53756,0.38575,0.81625,0.97666,1,0.995,0.78667,0.79903,0.41193,0.87038,0.000112726,0.000112726,0.000112726
93,305.238,0.51854,0.3828,0.79573,0.97666,1,0.995,0.78667,0.79903,0.41193,0.87038,0.00010258,0.00010258,0.00010258
94,307.513,0.54126,0.37323,0.8367,0.97666,1,0.995,0.78667,0.79903,0.41193,0.87038,9.21862e-05,9.21862e-05,9.21862e-05
95,309.863,0.48164,0.34971,0.82069,0.97666,1,0.995,0.78667,0.79903,0.41193,0.87038,8.1545e-05,8.1545e-05,8.1545e-05
96,312.282,0.50315,0.36644,0.80879,0.98425,0.99654,0.995,0.79375,0.78575,0.405,0.86656,7.06563e-05,7.06563e-05,7.06563e-05
97,314.666,0.45339,0.32094,0.79817,0.98425,0.99654,0.995,0.79375,0.78575,0.405,0.86656,5.952e-05,5.952e-05,5.952e-05
98,317.087,0.49677,0.34721,0.80238,0.98425,0.99654,0.995,0.79375,0.78575,0.405,0.86656,4.81363e-05,4.81363e-05,4.81363e-05
99,319.5,0.51566,0.36841,0.78896,0.98425,0.99654,0.995,0.79375,0.78575,0.405,0.86656,3.6505e-05,3.6505e-05,3.6505e-05
100,321.956,0.55753,0.40353,0.79677,0.98596,0.99386,0.995,0.79554,0.78379,0.40103,0.86641,2.46263e-05,2.46263e-05,2.46263e-05
